frame,time,strength,drms_db,dcentroid_hz,chroma_corr,accepted
5598,129.985,0.404457,0.000000,0.000000,1.000000,False
5688,132.075,0.710274,0.000000,0.000000,1.000000,False
5808,134.861,0.521481,0.000000,0.000000,1.000000,False
5838,135.558,0.457662,0.000000,0.000000,1.000000,False
5927,137.625,0.468453,0.000000,0.000000,1.000000,False
5956,138.298,0.436433,0.000000,0.000000,1.000000,False
5987,139.018,0.411854,0.000000,0.000000,1.000000,False
6045,140.365,0.495926,0.000000,0.000000,1.000000,False
6104,141.735,0.485803,0.000000,0.000000,1.000000,False
6164,143.128,0.590493,0.000000,0.000000,1.000000,False
6373,147.981,0.394957,0.000000,0.000000,1.000000,False
6402,148.654,0.389034,0.000000,0.000000,1.000000,False
6520,151.394,0.639203,0.000000,0.000000,1.000000,False
6624,153.809,0.416982,0.000000,0.000000,1.000000,False
6698,155.527,0.330989,0.000000,0.000000,1.000000,False
6757,156.897,0.510701,0.000000,0.000000,1.000000,False
6785,157.547,0.571931,0.000000,0.000000,1.000000,False
6902,160.264,0.545399,0.000000,0.000000,1.000000,False
6979,162.052,0.504033,0.000000,0.000000,1.000000,False
7092,164.676,0.573160,0.000000,0.000000,1.000000,False
7188,166.905,0.430834,0.000000,0.000000,1.000000,False
7233,167.950,0.435410,0.000000,0.000000,1.000000,False
7291,169.297,0.361326,0.000000,0.000000,1.000000,False
7321,169.993,0.413737,0.000000,0.000000,1.000000,False
7351,170.690,0.423502,0.000000,0.000000,1.000000,False
7439,172.733,0.452824,0.000000,0.000000,1.000000,False
7469,173.430,0.441706,0.000000,0.000000,1.000000,False
7528,174.800,0.373297,0.000000,0.000000,1.000000,False
7587,176.170,0.532883,0.000000,0.000000,1.000000,False
7647,177.563,0.597883,0.000000,0.000000,1.000000,False
7706,178.933,0.422202,0.000000,0.000000,1.000000,False
7765,180.303,0.449279,0.000000,0.000000,1.000000,False
7794,180.976,0.537476,0.000000,0.000000,1.000000,False
7883,183.043,0.561541,0.000000,0.000000,1.000000,False
7913,183.740,0.568837,0.000000,0.000000,1.000000,False
7972,185.109,0.369245,0.000000,0.000000,1.000000,False
8004,185.853,0.343801,0.000000,0.000000,1.000000,False
8063,187.222,0.397196,0.000000,0.000000,1.000000,False
8093,187.919,0.361424,0.000000,0.000000,1.000000,False
8124,188.639,0.359346,0.000000,0.000000,1.000000,False
8220,190.868,0.286075,0.000000,0.000000,1.000000,False
8302,192.772,0.481385,0.000000,0.000000,1.000000,False
8478,196.859,0.337844,0.000000,0.000000,1.000000,False
8538,198.252,0.347430,0.000000,0.000000,1.000000,False
8566,198.902,0.367032,0.000000,0.000000,1.000000,False
8611,199.947,0.335921,0.000000,0.000000,1.000000,False
8684,201.642,0.374639,0.000000,0.000000,1.000000,False
8715,202.362,0.363224,0.000000,0.000000,1.000000,False
8834,205.125,0.285790,0.000000,0.000000,1.000000,False
8877,206.124,0.231343,0.000000,0.000000,1.000000,False
8922,207.168,0.314373,0.000000,0.000000,1.000000,False
8967,208.213,0.352625,0.000000,0.000000,1.000000,False
9012,209.258,0.380665,0.000000,0.000000,1.000000,False
9041,209.932,0.351920,0.000000,0.000000,1.000000,False
9131,212.021,0.316915,0.000000,0.000000,1.000000,False
9175,213.043,0.304606,0.000000,0.000000,1.000000,False
9227,214.251,0.329958,0.000000,0.000000,1.000000,False
9308,216.131,0.336621,0.000000,0.000000,1.000000,False
9425,218.848,0.334754,0.000000,0.000000,1.000000,False
9468,219.847,0.313533,0.000000,0.000000,1.000000,False
9511,220.845,0.332679,0.000000,0.000000,1.000000,False
9541,221.542,0.345706,0.000000,0.000000,1.000000,False
9601,222.935,0.363687,0.000000,0.000000,1.000000,False
9753,226.464,0.254129,0.000000,0.000000,1.000000,False
9918,230.296,0.511638,0.000000,0.000000,1.000000,False
9964,231.364,0.432118,0.000000,0.000000,1.000000,False
10108,234.707,0.251249,0.000000,0.000000,1.000000,False
10245,237.888,0.293996,0.000000,0.000000,1.000000,False
10320,239.630,0.298189,0.000000,0.000000,1.000000,False
